region;region_name;year;cgdppc;rgdpnapc;pop
wo;Western Offshoots;1870;3692;3758;46088
wo;Western Offshoots;1871;3779;3842;46880
wo;Western Offshoots;1872;3839;3908;48048
wo;Western Offshoots;1873;3960;4033;49221
wo;Western Offshoots;1874;3860;3934;50413
wo;Western Offshoots;1875;3961;4041;51596
wo;Western Offshoots;1876;3899;3977;52778
wo;Western Offshoots;1877;3951;4031;53954
wo;Western Offshoots;1878;4025;4111;55135
wo;Western Offshoots;1879;4384;4467;56333
wo;Western Offshoots;1880;4767;4853;57559
wo;Western Offshoots;1881;4849;4938;59002
wo;Western Offshoots;1882;5001;5084;60433
wo;Western Offshoots;1883;5022;5112;61892
wo;Western Offshoots;1884;5011;5100;63366
wo;Western Offshoots;1885;4932;5022;64809
wo;Western Offshoots;1886;4962;5051;66242
wo;Western Offshoots;1887;5086;5182;67683
wo;Western Offshoots;1888;4979;5073;69126
wo;Western Offshoots;1889;5174;5272;70559
wo;Western Offshoots;1890;5146;5240;71992
wo;Western Offshoots;1891;5265;5362;73454
wo;Western Offshoots;1892;5572;5657;74904
wo;Western Offshoots;1893;5215;5296;76342
wo;Western Offshoots;1894;5005;5085;77779
wo;Western Offshoots;1895;5429;5505;79215
wo;Western Offshoots;1896;5251;5330;80650
wo;Western Offshoots;1897;5615;5691;82090
wo;Western Offshoots;1898;5668;5750;83527
wo;Western Offshoots;1899;6055;6137;84959
wo;Western Offshoots;1900;6135;6221;86396
wo;Western Offshoots;1901;6647;6730;88043
wo;Western Offshoots;1902;6614;6699;89813
wo;Western Offshoots;1903;6810;6898;91522
wo;Western Offshoots;1904;6625;6715;93318
wo;Western Offshoots;1905;6969;7062;95236
wo;Western Offshoots;1906;7607;7706;97060
wo;Western Offshoots;1907;7597;7698;99031
wo;Western Offshoots;1908;6884;6982;101061
wo;Western Offshoots;1909;7545;7649;103140
wo;Western Offshoots;1910;7518;7627;105375
wo;Western Offshoots;1911;7646;7749;107211
wo;Western Offshoots;1912;7875;7973;109058
